a Spectral Type,a Deltai (deg),a Deltai +Unc,a Deltai -Unc,b Mstar (Msun),b Mstar +Unc,b Mstar -Unc,b Deltai (deg),b Deltai +Unc,b Deltai -Unc,c Teff (K),c Teff +Unc,c Teff -Unc,c Deltai (deg),c Deltai +Unc,c Deltai -Unc,d Rstar (Rsun),d Rstar +Unc,d Rstar -Unc,d Deltai (deg),d Deltai +Unc,d Deltai -Unc,e Prot (d),e Prot +Unc,e Prot -Unc,e Deltai (deg),e Deltai +Unc,e Deltai -Unc,f vsini (km/s),f vsini +Unc,f vsini -Unc,f Deltai (deg),f Deltai +Unc,f Deltai -Unc,g idisk (deg),g idisk +Unc,g idisk -Unc,g Deltai (deg),g Deltai +Unc,g Deltai -Unc,h istar (deg),h istar +Unc,h istar -Unc,h Deltai (deg),h Deltai +Unc,h Deltai -Unc
3.2,13.8,5.373993694,7.343598777,1.130701198,0.061974737,0.061974737,13.8,5.373993694,7.343598777,5634.978522,84.88012295,84.88012295,13.8,5.373993694,7.343598777,1.879,0.168926436,0.168926436,13.8,5.373993694,7.343598777,3.15,0.096184237,0.096184237,13.8,5.373993694,7.343598777,21.0,1.05,1.05,13.8,5.373993694,7.343598777,58.2,0.1,0.1,13.8,5.373993694,7.343598777,44.23,5.791996583,7.872140735,13.8,5.373993694,7.343598777
4.7,0.1,18.38789507,0.1,0.702439024,0.062469505,0.062469505,0.1,18.38789507,0.1,4016.798394,60.7565281,60.7565281,0.1,18.38789507,0.1,1.186,0.137015767,0.137015767,0.1,18.38789507,0.1,3.007000903,0.048745664,0.048745664,0.1,18.38789507,0.1,16.76934776,0.484385806,0.484385806,0.1,18.38789507,0.1,51.7,0.1,0.1,0.1,18.38789507,0.1,57.25,8.916237566,16.53998681,0.1,18.38789507,0.1
4.7,0.1,6.015626319,0.1,0.850006322,0.084926947,0.084926947,0.1,6.015626319,0.1,4125.238752,69.06923579,69.06923579,0.1,6.015626319,0.1,1.801,0.314531128,0.314531128,0.1,6.015626319,0.1,3.676486906,0.084009383,0.084009383,0.1,6.015626319,0.1,8.500771648,0.637395025,0.637395025,0.1,6.015626319,0.1,18.8,1.6,1.6,0.1,6.015626319,0.1,20.18,3.852313958,5.789015559,0.1,6.015626319,0.1
4.5,40.6,2.557003713,18.63981118,0.775163399,0.064676167,0.064676167,40.6,2.557003713,18.63981118,4329.841727,113.413792,113.413792,40.6,2.557003713,18.63981118,1.525,0.2663298,0.2663298,40.6,2.557003713,18.63981118,5.74193578,0.212108487,0.212108487,40.6,2.557003713,18.63981118,15.0,1.414213562,1.414213562,40.6,2.557003713,18.63981118,46.5,0.5,0.5,40.6,2.557003713,18.63981118,90.0,20.97280945,-2.83e-05,40.6,2.557003713,18.63981118
4.3,48.0,7.871625423,17.04003097,0.735574546,0.072219882,0.072219882,48.0,7.871625423,17.04003097,4619.372149,82.00041049,82.00041049,48.0,7.871625423,17.04003097,1.318,0.149786206,0.149786206,48.0,7.871625423,17.04003097,2.56,0.106112323,0.106112323,48.0,7.871625423,17.04003097,26.69,2.86,2.86,48.0,7.871625423,17.04003097,32.0,5.0,5.0,48.0,7.871625423,17.04003097,90.0,22.0730311,-3.06e-05,48.0,7.871625423,17.04003097
4.4,38.2,16.88902771,14.24126117,0.884733109,0.049069703,0.049069703,38.2,16.88902771,14.24126117,4729.963638,57.40527177,57.40527177,38.2,16.88902771,14.24126117,1.199,0.134421891,0.134421891,38.2,16.88902771,14.24126117,2.822,0.56603633,0.56603633,38.2,16.88902771,14.24126117,19.74386053,0.940916371,0.940916371,38.2,16.88902771,14.24126117,30.0,5.0,5.0,38.2,16.88902771,14.24126117,67.01,8.504996995,21.55135606,38.2,16.88902771,14.24126117
4.4,1.7,12.66350652,1.7,1.243887324,0.070677473,0.070677473,1.7,12.66350652,1.7,4896.35729,62.57325843,62.57325843,1.7,12.66350652,1.7,1.627,0.284143334,0.284143334,1.7,12.66350652,1.7,3.716124186,0.102964597,0.102964597,1.7,12.66350652,1.7,21.9139155,2.270558916,2.270558916,1.7,12.66350652,1.7,67.745,0.565,0.565,1.7,12.66350652,1.7,89.22,24.9698892,0.779963235,1.7,12.66350652,1.7
3.4,0.6,24.29153081,0.6,2.18,0.476864761,0.476864761,0.6,24.29153081,0.6,5726.782162,54.4045045,54.4045045,0.6,24.29153081,0.6,3.454,0.603215167,0.603215167,0.6,24.29153081,0.6,2.723421053,0.060936165,0.060936165,0.6,24.29153081,0.6,61.29068236,1.301145215,1.301145215,0.6,24.29153081,0.6,53.01,1.52,1.52,0.6,24.29153081,0.6,72.87,8.668603214,17.12996166,0.6,24.29153081,0.6
4.2,32.0,5.171369689,18.55100589,0.8794,0.244472493,0.244472493,32.0,5.171369689,18.55100589,3931.97701,38.03770327,38.03770327,32.0,5.171369689,18.55100589,1.629,0.284492619,0.284492619,32.0,5.171369689,18.55100589,6.108217835,0.205031609,0.205031609,32.0,5.171369689,18.55100589,13.57998567,0.48291252,0.48291252,32.0,5.171369689,18.55100589,51.7,1.2,1.2,32.0,5.171369689,18.55100589,90.0,23.39641304,-3.33e-05,32.0,5.171369689,18.55100589
5.5,12.0,4.301996174,3.91728263,0.201035477,0.028814305,0.028814305,12.0,4.301996174,3.91728263,3279.431168,25.92287225,25.92287225,12.0,4.301996174,3.91728263,1.475,0.257597676,0.257597676,12.0,4.301996174,3.91728263,2.005,0.029661146,0.029661146,12.0,4.301996174,3.91728263,8.0,0.0,0.0,12.0,4.301996174,3.91728263,21.3,1.3,1.3,12.0,4.301996174,3.91728263,9.8,4.625003376,3.19019178,12.0,4.301996174,3.91728263
4.85,1.1,22.02370593,1.1,0.736752796,0.123766572,0.123766572,1.1,22.02370593,1.1,3953.41707,31.41969776,31.41969776,1.1,22.02370593,1.1,1.4,0.3,0.3,1.1,22.02370593,1.1,1.92,0.053890642,0.053890642,1.1,22.02370593,1.1,31.0,3.0,3.0,1.1,22.02370593,1.1,49.76,3.95,3.95,1.1,22.02370593,1.1,58.01,10.38000889,22.97838013,1.1,22.02370593,1.1
4.7,2.2,22.09578674,2.2,0.595668788,0.079813395,0.079813395,2.2,22.09578674,2.2,3860.947095,40.64194856,40.64194856,2.2,22.09578674,2.2,1.058,0.156616997,0.156616997,2.2,22.09578674,2.2,6.69,0.643297888,0.643297888,2.2,22.09578674,2.2,8.0,0.0,0.0,2.2,22.09578674,2.2,61.31,5.34,5.34,2.2,22.09578674,2.2,52.28,20.2240477,26.92904202,2.2,22.09578674,2.2
3.8,0.7,11.51310422,0.7,1.247142857,0.35046228,0.35046228,0.7,11.51310422,0.7,5485.264288,119.3995237,119.3995237,0.7,11.51310422,0.7,2.476050233,0.309292516,0.309292516,0.7,11.51310422,0.7,3.228829989,0.063181825,0.063181825,0.7,11.51310422,0.7,37.68314436,1.012701463,1.012701463,0.7,11.51310422,0.7,73.0,5.0,5.0,0.7,11.51310422,0.7,76.41,8.7032736,13.5899671,0.7,11.51310422,0.7
5.05,12.5,4.535040984,3.990004107,0.721947427,0.0268825,0.0268825,12.5,4.535040984,3.990004107,3982.120542,32.78490238,32.78490238,12.5,4.535040984,3.990004107,1.052,0.130716677,0.130716677,12.5,4.535040984,3.990004107,3.510239295,0.067502441,0.067502441,12.5,4.535040984,3.990004107,4.930903649,0.369434622,0.369434622,12.5,4.535040984,3.990004107,6.95,2.85,2.85,12.5,4.535040984,3.990004107,19.09,2.734000423,3.504505575,12.5,4.535040984,3.990004107
4.6,0.3,18.68094612,0.3,0.690969849,0.065747749,0.065747749,0.3,18.68094612,0.3,4264.228497,60.84755145,60.84755145,0.3,18.68094612,0.3,1.810626473,0.608853619,0.608853619,0.3,18.68094612,0.3,3.53,0.12868709,0.12868709,0.3,18.68094612,0.3,21.36462715,1.057451028,1.057451028,0.3,18.68094612,0.3,56.3,0.2,0.2,0.3,18.68094612,0.3,55.62,10.62097777,26.10389662,0.3,18.68094612,0.3
5.1,41.3,5.067981039,14.35368041,0.651294894,0.065827857,0.065827857,41.3,5.067981039,14.35368041,3699.343247,38.53918916,38.53918916,41.3,5.067981039,14.35368041,1.423,0.248516266,0.248516266,41.3,5.067981039,14.35368041,6.773045723,0.240256264,0.240256264,41.3,5.067981039,14.35368041,11.87712546,0.43727397,0.43727397,41.3,5.067981039,14.35368041,43.1,0.8,0.8,41.3,5.067981039,14.35368041,90.0,19.06101929,-2.57e-05,41.3,5.067981039,14.35368041
4.5,34.6,0.863997095,8.536167053,0.463333333,0.032145503,0.032145503,34.6,0.863997095,8.536167053,3242.279465,19.41672662,19.41672662,34.6,0.863997095,8.536167053,1.823333333,0.100166528,0.100166528,34.6,0.863997095,8.536167053,6.24,0.345728246,0.345728246,34.6,0.863997095,8.536167053,17.94823506,0.577092245,0.577092245,34.6,0.863997095,8.536167053,54.4,0.3,0.3,34.6,0.863997095,8.536167053,90.0,9.201702474,-1.17e-05,34.6,0.863997095,8.536167053
5.15,2.2,13.23484728,2.2,0.432633558,0.073665478,0.073665478,2.2,13.23484728,2.2,3598.429357,32.99891647,32.99891647,2.2,13.23484728,2.2,1.878,0.143415649,0.143415649,2.2,13.23484728,2.2,12.31,1.277745363,1.277745363,2.2,13.23484728,2.2,10.4,2.1,2.1,2.2,13.23484728,2.2,67.3,0.5,0.5,2.2,13.23484728,2.2,90.0,22.26521714,-2.88e-05,2.2,13.23484728,2.2
