Delta i (deg),Rayleigh (log-U Pr),Rayleigh (TG Pr),Gaussian (log-U Pr),Gaussian (TG Pr),Tr. Gaussian (U Pr)
22.8,0.027070229226663595,0.027475175212742793,0.022656716224890253,0.033898735009771974,0.013434815098850516
22.900000000000002,0.02678203818715335,0.02719131222766291,0.021750198039710775,0.03325460416278321,0.01333343503575291
23.0,0.026494661443796974,0.02690813045511716,0.020917998462836165,0.03261384603776038,0.01323281981275273
23.1,0.026208143221120195,0.02662567434620207,0.020107120140415498,0.0319767406189744,0.013132963661044515
23.200000000000003,0.025922526852560426,0.026343987510299476,0.0193175687191543,0.0313181744662462,0.013033860855317788
23.3,0.02563785477972882,0.02606311271353578,0.018549316773947805,0.030659836525374868,0.012935505713446956
23.400000000000002,0.02535416855203431,0.025783091877588718,0.01780230516430247,0.030030168161883673,0.012837892596147885
23.5,0.02507150882666371,0.025503966078836728,0.01706635064881969,0.02940874836127553,0.01274101590666667
23.6,0.024789915368912747,0.025225775547846104,0.016347895947660673,0.028792327781077175,0.01264487009041859
23.700000000000003,0.02450942705286245,0.024948559669191295,0.01565123699701467,0.028181134567098913,0.012549449634773958
23.8,0.024230081862395215,0.024672356981603263,0.014976180773778595,0.02757538781851769,0.012454749068609475
23.900000000000002,0.023951916892544917,0.024397205178440975,0.014322508315362475,0.026975297543281304,0.012360762962064658
24.0,0.023674968351175413,0.024123141108481037,0.013689976300618547,0.026381064626736894,0.012267485926291951
24.1,0.023399271560981046,0.023850200777019794,0.013078318626456883,0.02579288081324902,0.012174912612984947
24.200000000000003,0.023124860961803988,0.02357841934728333,0.012487247975346609,0.02521092870055587,0.012083037714223942
24.3,0.022851770113261657,0.023307831142139426,0.011916457369143114,0.02461478652216626,0.011991855962115282
24.400000000000002,0.02258003169767856,0.023038469646106265,0.011365621704936695,0.02401153393652351,0.011901362128462522
24.5,0.022309677523316314,0.022770367507652524,0.010834399268876846,0.02343340864607952,0.011811551024527045
24.6,0.022040738527895433,0.02250355654178294,0.010322433224191683,0.022884291759731015,0.011722417500671004
24.700000000000003,0.02177324478240302,0.022238067732904265,0.009829353069891395,0.022342025868376074,0.011633956446105632
24.8,0.021507225495179597,0.02197393123796526,0.009354776066914691,0.021806737190992014,0.011546162788571646
